City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
348,abu samrah,0,SY,1517355014,94,35.3,37.18,37.34,4.03
349,ritchie,8,ZA,1517353200,72,-29.03,24.6,64.4,12.75
350,sinnamary,92,GF,1517355015,97,5.38,-52.96,79.24,11.97
351,beberibe,20,BR,1517353200,74,-4.18,-38.13,82.4,10.29
352,codrington,0,AU,1517355016,80,-28.95,153.24,81.31,3.69
353,jaisalmer,12,IN,1517355018,92,26.91,70.91,51.7,4.03
354,mwene-ditu,8,CD,1517355019,95,-7.01,23.45,66.28,3.02
355,kavieng,92,PG,1517355020,100,-2.57,150.8,85.58,9.17
356,kangaatsiaq,76,GL,1517355020,100,68.31,-53.46,11.51,5.82
357,ballina,92,IE,1517355021,93,54.11,-9.15,44.68,19.8
358,batagay-alyta,44,RU,1517355022,51,67.8,130.41,-32.01,2.8
359,saint george,0,GR,1517352600,75,39.45,22.34,42.8,6.93
360,moindou,44,NC,1517353200,88,-21.69,165.68,78.8,8.05
361,arman,90,RU,1517353200,100,59.7,150.17,28.4,8.95
362,santa isabel do rio negro,12,BR,1517355024,55,-0.41,-65.02,86.93,5.59
363,calama,0,CL,1517353200,34,-22.46,-68.93,68.0,21.92
364,sooke,90,CA,1517354340,80,48.37,-123.73,42.8,10.29
365,marsa matruh,40,EG,1517349600,81,31.35,27.25,53.6,8.05
366,aqtobe,0,KZ,1517353200,64,50.28,57.21,-0.41,4.47
367,bitkine,0,TD,1517355026,35,11.98,18.21,62.36,10.07
368,kitimat,90,CA,1517354220,87,54.02,-128.69,32.0,9.17
369,erenhot,0,CN,1517355028,55,43.65,111.97,-7.21,9.73
370,bagua grande,0,PE,1517355029,87,-5.75,-78.44,65.06,1.68
371,nalut,0,LY,1517355030,88,31.86,10.98,39.01,3.13
372,jiaocheng,92,CN,1517355030,98,24.68,116.14,39.19,2.68
373,santa cruz,1,US,1517352960,33,36.97,-122.03,73.4,4.7
374,mount gambier,92,AU,1517355033,66,-37.83,140.78,61.78,8.28
375,halkirk,80,CA,1517355034,80,52.28,-112.15,13.36,4.25
376,lensk,64,RU,1517355034,66,60.71,114.91,-1.23,7.16
377,port hedland,90,AU,1517351400,83,-20.31,118.58,69.8,11.41
378,paita,75,PE,1517353200,65,-5.09,-81.11,77.0,17.22
